date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:19:38	169027/169027	---M--	200	added ('OK')	image/jpeg	etag:%2229443-5af8b474a1f56%22	http://innovationplans.com/idesign/avo2/avo-dark/img/team/2.jpg	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/img/team/2.jpg	(from http://innovationplans.com/idesign/avo2/avo-dark/index4.html)
23:19:40	415/415	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Jul%202021%2017:46:29%20GMT	http://innovationplans.com/idesign/avo2/avo-dark/css/tooltipster.bundle.min.css	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/css/tooltipster.bundle.min.58.delayed	(from http://innovationplans.com/idesign/avo2/avo-dark/showcase.html)
23:19:43	195538/195538	---M--	200	added ('OK')	image/jpeg	etag:%222fbd2-5af8b46e0a3a1%22	http://innovationplans.com/idesign/avo2/avo-dark/img/slid/freelancer.jpg	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/img/slid/freelancer.jpg	(from http://innovationplans.com/idesign/avo2/avo-dark/index5.html)
23:19:43	419/419	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Jul%202021%2017:46:32%20GMT	https://innovationplans.com/idesign/avo2/avo-dark/css/tooltipster.bundle.min.css	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/css/tooltipster.bundle.min.59.delayed	(from http://innovationplans.com/idesign/avo2/avo-dark/showcase.html)
23:19:47	29630/29630	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2012%20Jul%202021%2017:46:36%20GMT	https://www.innovationplans.com/idesign/avo2/avo-dark/css/tooltipster.bundle.min.css	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/www.innovationplans.com/idesign/avo2/avo-dark/css/tooltipster.bundle.min.5a.delayed	(from http://innovationplans.com/idesign/avo2/avo-dark/showcase.html)
23:20:00	68196/68196	---M--	200	added ('OK')	image/jpeg	etag:%2210a64-5af8b472c8d19%22	http://innovationplans.com/idesign/avo2/avo-dark/img/team/03.jpg	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/img/team/03.jpg	(from http://innovationplans.com/idesign/avo2/avo-dark/about.html)
23:20:01	70299/70299	---M--	200	added ('OK')	image/jpeg	etag:%221129b-5af8b476417da%22	http://innovationplans.com/idesign/avo2/avo-dark/img/team/5.jpg	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/img/team/5.jpg	(from http://innovationplans.com/idesign/avo2/avo-dark/about.html)
23:20:08	151770/151770	---M--	200	added ('OK')	image/jpeg	etag:%22250da-5af8b471c9ee5%22	http://innovationplans.com/idesign/avo2/avo-dark/img/team/01.jpg	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/img/team/01.jpg	(from http://innovationplans.com/idesign/avo2/avo-dark/about.html)
23:20:11	65418/65418	---M--	200	added ('OK')	image/jpeg	etag:%22ff8a-5af8b476edd8f%22	http://innovationplans.com/idesign/avo2/avo-dark/img/team/6.jpg	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/img/team/6.jpg	(from http://innovationplans.com/idesign/avo2/avo-dark/about.html)
23:20:12	158658/158658	---M--	200	added ('OK')	image/jpeg	etag:%2226bc2-5af8b471a31f3%22	http://innovationplans.com/idesign/avo2/avo-dark/img/team/02.jpg	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/img/team/02.jpg	(from http://innovationplans.com/idesign/avo2/avo-dark/about.html)
23:20:18	40334/40334	---M--	200	added ('OK')	image/jpeg	etag:%229d8e-5af8b4f45133f%22	http://innovationplans.com/idesign/avo2/avo-dark/img/portfolio/works/2.jpg	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/img/portfolio/works/2.jpg	(from http://innovationplans.com/idesign/avo2/avo-dark/works.html)
23:20:29	175481/175481	---M--	200	added ('OK')	image/jpeg	etag:%222ad79-5af8b417b8bf4%22	http://innovationplans.com/idesign/avo2/avo-dark/img/min-area.jpg	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/img/min-area.jpg	(from http://innovationplans.com/idesign/avo2/avo-dark/about.html)
23:20:32	85191/85191	---M--	200	added ('OK')	image/jpeg	etag:%2214cc7-5af8b4f95137e%22	http://innovationplans.com/idesign/avo2/avo-dark/img/portfolio/works/6.jpg	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/img/portfolio/works/6.jpg	(from http://innovationplans.com/idesign/avo2/avo-dark/works.html)
23:20:33	21901/21901	---M--	200	added ('OK')	image/jpeg	etag:%22558d-5af8b4f8373eb%22	http://innovationplans.com/idesign/avo2/avo-dark/img/portfolio/works/5.jpg	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/img/portfolio/works/5.jpg	(from http://innovationplans.com/idesign/avo2/avo-dark/works.html)
23:20:38	161235/161235	---M--	200	added ('OK')	image/jpeg	etag:%22275d3-5af8b4f842f46%22	http://innovationplans.com/idesign/avo2/avo-dark/img/portfolio/works/3.jpg	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/img/portfolio/works/3.jpg	(from http://innovationplans.com/idesign/avo2/avo-dark/works.html)
23:20:39	34280/34280	---M--	200	added ('OK')	image/jpeg	etag:%2285e8-5af8b4f91bff4%22	http://innovationplans.com/idesign/avo2/avo-dark/img/portfolio/works/7.jpg	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/img/portfolio/works/7.jpg	(from http://innovationplans.com/idesign/avo2/avo-dark/works.html)
23:20:42	59445/59445	---M--	200	added ('OK')	image/jpeg	etag:%22e835-5af8b4f78c1c0%22	http://innovationplans.com/idesign/avo2/avo-dark/img/portfolio/works/4.jpg	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/img/portfolio/works/4.jpg	(from http://innovationplans.com/idesign/avo2/avo-dark/works.html)
23:20:43	83/83	---M--	409	error ('Conflict')	text/html	date:Mon,%2012%20Jul%202021%2017:47:32%20GMT	http://innovationplans.com/idesign/avo2/avo-dark/contact.html	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/contact.html	(from http://innovationplans.com/idesign/avo2/avo-dark/index.html)
23:20:43	31033/31033	---M--	200	added ('OK')	image/jpeg	etag:%227939-5af8b4f9cb886%22	http://innovationplans.com/idesign/avo2/avo-dark/img/portfolio/works/8.jpg	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/img/portfolio/works/8.jpg	(from http://innovationplans.com/idesign/avo2/avo-dark/works.html)
23:20:52	54839/54839	---M--	200	added ('OK')	image/jpeg	etag:%22d637-5af8b4e88fb57%22	http://innovationplans.com/idesign/avo2/avo-dark/img/portfolio/project1/bg.jpg	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/img/portfolio/project1/bg.jpg	(from http://innovationplans.com/idesign/avo2/avo-dark/project-details.html)
23:20:53	55153/55153	---M--	200	added ('OK')	image/jpeg	etag:%22d771-5af8b4e3f6776%22	http://innovationplans.com/idesign/avo2/avo-dark/img/portfolio/project1/1.jpg	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/img/portfolio/project1/1.jpg	(from http://innovationplans.com/idesign/avo2/avo-dark/project-details.html)
23:21:08	180904/180904	---M--	200	added ('OK')	image/jpeg	etag:%222c2a8-5af8b4fac6047%22	http://innovationplans.com/idesign/avo2/avo-dark/img/portfolio/works/9.jpg	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/img/portfolio/works/9.jpg	(from http://innovationplans.com/idesign/avo2/avo-dark/works.html)
23:21:13	123590/123590	---M--	200	added ('OK')	image/jpeg	etag:%221e2c6-5af8b4e56fe71%22	http://innovationplans.com/idesign/avo2/avo-dark/img/portfolio/project1/3.jpg	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/img/portfolio/project1/3.jpg	(from http://innovationplans.com/idesign/avo2/avo-dark/project-details.html)
23:21:13	131592/131592	---M--	200	added ('OK')	image/jpeg	etag:%2220208-5af8b4e41c102%22	http://innovationplans.com/idesign/avo2/avo-dark/img/portfolio/project1/2.jpg	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/img/portfolio/project1/2.jpg	(from http://innovationplans.com/idesign/avo2/avo-dark/project-details.html)
23:21:18	59343/59343	---M--	200	added ('OK')	image/jpeg	etag:%22e7cf-5af8b4e563b39%22	http://innovationplans.com/idesign/avo2/avo-dark/img/portfolio/project1/4.jpg	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/img/portfolio/project1/4.jpg	(from http://innovationplans.com/idesign/avo2/avo-dark/project-details.html)
23:21:19	394/394	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Jul%202021%2017:48:08%20GMT	http://innovationplans.com/idesign/avo2/avo-dark/popper.js	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/popper.js	(from http://innovationplans.com/idesign/avo2/avo-dark/js/plugins.js)
23:21:21	479859/479859	---M--	200	added ('OK')	image/jpeg	etag:%2275273-5af8b4f697789%22	http://innovationplans.com/idesign/avo2/avo-dark/img/portfolio/works/1.jpg	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/img/portfolio/works/1.jpg	(from http://innovationplans.com/idesign/avo2/avo-dark/works.html)
23:21:26	398/398	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Jul%202021%2017:48:10%20GMT	https://innovationplans.com/idesign/avo2/avo-dark/popper.js	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/popper.72.delayed	(from http://innovationplans.com/idesign/avo2/avo-dark/js/plugins.js)
23:21:27	127105/127105	---M--	200	added ('OK')	image/jpeg	etag:%221f081-5af8b4e70a4e1%22	http://innovationplans.com/idesign/avo2/avo-dark/img/portfolio/project1/5.jpg	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/img/portfolio/project1/5.jpg	(from http://innovationplans.com/idesign/avo2/avo-dark/project-details.html)
23:21:27	126163/126163	---M--	200	added ('OK')	image/jpeg	etag:%221ecd3-5af8b4e780f37%22	http://innovationplans.com/idesign/avo2/avo-dark/img/portfolio/project1/6.jpg	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/img/portfolio/project1/6.jpg	(from http://innovationplans.com/idesign/avo2/avo-dark/project-details.html)
23:21:29	29630/29630	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2012%20Jul%202021%2017:48:18%20GMT	https://www.innovationplans.com/idesign/avo2/avo-dark/popper.js	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/www.innovationplans.com/idesign/avo2/avo-dark/popper.73.delayed	(from http://innovationplans.com/idesign/avo2/avo-dark/js/plugins.js)
23:21:31	391/391	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Jul%202021%2017:48:19%20GMT	http://innovationplans.com/idesign/avo2/avo-dark/jg.src	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/jg.src	(from http://innovationplans.com/idesign/avo2/avo-dark/js/plugins.js)
23:21:32	395/395	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Jul%202021%2017:48:21%20GMT	https://innovationplans.com/idesign/avo2/avo-dark/jg.src	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/jg.src	(from http://innovationplans.com/idesign/avo2/avo-dark/js/plugins.js)
